year,maker,vehicle_category,total,,
2023,ZHEJIANG MORNI (IMPORTER: ADISHWAR AUTO),TWO WHEELER,21,,
2023,ZHEJIANG QIANJIANG (IMPORTER: ADISHWAR AUTO),TWO WHEELER,86,,
2023,ZHEJIANG TIANYING (IMPORTER: NEWTRON ELECTRIC),TWO WHEELER,64,,
2023,3EV INDUSTRIES PVT LTD,THREE WHEELER,545,,
2023,3S INDUSTRIES PRIVATE LIMITED,THREE WHEELER,266,,
2023,AADHYA ENTERPRISES,THREE WHEELER,797,,
2023,AADITYA GARBAGE PRODUCTS PVT LTD,THREE WHEELER,34,,
2023,AAHANA COMMERCE PVT LTD,THREE WHEELER,918,,
2023,AARGEE ELECTRIC,THREE WHEELER,18,,
2023,ACCRETION POWER AUTOS,THREE WHEELER,598,,
2023,ADAPT MOTORS PVT LTD,THREE WHEELER,4,,
2023,ADIDEV TECHNOA PVT LTD,THREE WHEELER,689,,
2023,ADITYA ENTERPRISES,THREE WHEELER,1,,
2023,ADITYA SAI INDUSTRIES,THREE WHEELER,179,,
2023,ADM TECHNOLOGIES PVT. LTD.,THREE WHEELER,129,,
2023,AJAY MOTORS PRIVATE LIMITED,THREE WHEELER,190,,
2023,A K AUTTO ELECTRICAL,THREE WHEELER,2,,
2023,AKG INTERNATIONAL,THREE WHEELER,138,,
2023,A K GUPTA & CO.,THREE WHEELER,563,,
2023,ALBEDO VISION PVT LTD,THREE WHEELER,39,,
2023,ALLENTTI MOTORS PVT LTD,THREE WHEELER,59,,
2023,ALLFINE INDUSTRIES PVT LTD,THREE WHEELER,10,743,
2023,ALTIER ELECTRIC VEHICLES PVT LTD,THREE WHEELER,2,517,
2023,ALTIGREEN PROPULSION LABS PVT LTD,THREE WHEELER,2,512,
2023,ALTIUS TECHNOLOGIES,THREE WHEELER,13,,
2023,AMAN AUTOMOBILES,THREE WHEELER,14,,
2023,AMAN ELECTRIC VEHICLES,THREE WHEELER,162,,
2023,AMBIKA ENTERPRISES,THREE WHEELER,145,,
2023,AMBIKA INDUSTRIES,THREE WHEELER,1,910,
2023,ANJALI AUTO COMPONENTS,THREE WHEELER,62,,
2023,ANJALI TRADERS,THREE WHEELER,74,,
2023,ANKUSH AUTO DEALS,THREE WHEELER,5,,
2023,APARNA INDUSTRIES,THREE WHEELER,87,,
2023,A P I MOTORS PVT LTD,THREE WHEELER,1,134,
2023,APM AUTO SALES,THREE WHEELER,778,,
2023,APSARA ENTERPRISE,THREE WHEELER,725,,
2023,ARCHIT ENTERPRISES,THREE WHEELER,1,77,
2023,ARD EXIM,THREE WHEELER,61,,
2023,ARNA ELECTRIC AUTO PVT LTD,THREE WHEELER,590,,
2023,ARROW AUTOMOTIVE,THREE WHEELER,3,958,
2023,ASHA IMPEX,THREE WHEELER,86,,
2023,ASHLESHA POWER CONTROLS PVT LTD,THREE WHEELER,6,,
2023,ASHMA-MOTORS PVT LTD,THREE WHEELER,294,,
2023,ATTOLENT AUTO GROUP PVT LTD,THREE WHEELER,760,,
2023,ATUL AUTO LTD,THREE WHEELER,22,519,
2023,ATUL GREENTECH PRIVATE LIMITED,THREE WHEELER,127,,
2023,ATUT SANGAM,THREE WHEELER,2,336,
2023,AUTOECO GREEN ENERGY PVT LTD,THREE WHEELER,580,,
2023,AUTOHAUS PRIVATE LIMITED,THREE WHEELER,103,,
2023,AUTOLITE (INDIA) LIMITED,THREE WHEELER,11,,
2023,A.V.AUTOMOTIVES PVT LTD,THREE WHEELER,1,309,
2023,AVL ELECTRIC VEHICLES PVT LTD,THREE WHEELER,2,632,
2023,AVON CYCLE LTD INDIA,THREE WHEELER,10,,
2023,AVON CYCLES LTD,THREE WHEELER,784,,
2023,B24 ROKET EV,THREE WHEELER,28,,
2023,BABA E-VEHICLES,THREE WHEELER,1,363,
2023,BAGHWAN RIKSHAW UDYOG,THREE WHEELER,40,,
2023,BAJAJ AUTO LTD,THREE WHEELER,4,1,358
2023,BAJAJ IMPLEMENTS PVT. LTD,THREE WHEELER,947,,
2023,BALAJI TRADING COMPANY,THREE WHEELER,7,,
2023,BALAN ENGINEERING PVT LTD,THREE WHEELER,146,,
2023,BAL GOPAL WHEELS PVT LTD,THREE WHEELER,105,,
2023,BALI AUTO INDUSTRIES,THREE WHEELER,274,,
2023,BAXY LTD,THREE WHEELER,390,,
2023,BENTINCK INDUSTRIES PVT. LTD.,THREE WHEELER,382,,
2023,BEST WAY AGENCIES PVT LTD,THREE WHEELER,7,902,
2023,BESTWAY AGENCIES PVT LTD,THREE WHEELER,33,,
2023,BESTWAY BANARASH,THREE WHEELER,12,,
2023,BHADAURIA ENTERPRISES,THREE WHEELER,106,,
2023,BHARAT MANUFACTURING & ASSEMBLING E RIKSHA,THREE WHEELER,2,,
2023,BHAVE ELECTRIC VEHICLES PVT LTD,THREE WHEELER,2,681,
2023,BHM INDUSTRIES,THREE WHEELER,1,814,
2023,BIG BULL TRADER PVT LTD,THREE WHEELER,673,,
2023,BIJNOR ENTERPRISES,THREE WHEELER,72,,
2023,BRIGHT AUTOZONE PVT LTD,THREE WHEELER,3,695,
2023,BRIGHT METAL WORKS,THREE WHEELER,31,,
2023,CAPITAL AUTO INDUSTRIES,THREE WHEELER,1,939,
2023,CARREE YUNUS VEHICLE PVT LTD,THREE WHEELER,3,,
2023,CART INDIA,THREE WHEELER,109,,
2023,CEEON INDIA,THREE WHEELER,874,,
2023,CHAMPION POLY PLAST,THREE WHEELER,14,877,
2023,CHARUVIKRAM AUTOMOBILE PVT LTD,THREE WHEELER,6,,
2023,CHAUHAN AUTO INDUSTRIES,THREE WHEELER,571,,
2023,CHEHAK BATTERIES,THREE WHEELER,290,,
2023,CITADEL ENTERPRISES(OPC) PVT LTD,THREE WHEELER,28,,
2023,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,THREE WHEELER,930,,
2023,C M OVERSEAS,THREE WHEELER,50,,
2023,CONTINENTAL ENGINES PVT LTD,THREE WHEELER,5,151,
2023,CYRUS AUTO INDUSTRIES PVT LTD,THREE WHEELER,96,,
2023,DAKSH INDUSTRIES,THREE WHEELER,5,925,
2023,DASHMESH TRADERS,THREE WHEELER,122,,
2023,DAVE EXIM PVT LTD,THREE WHEELER,311,,
2023,DD AUTO PVT LTD,THREE WHEELER,2,,
2023,DEEP DRAWN TECHNOLOGIES,THREE WHEELER,12,,
2023,DE EUSI MOTORS PVT LTD.,THREE WHEELER,1,563,
2023,DELTA AUTOCORP LTD,THREE WHEELER,2,465,
2023,DELTEK ENTERPRISES PVT LTD,THREE WHEELER,8,,
2023,DEVAM ELECTRIC VEHICLES PVT LTD,THREE WHEELER,12,,
2023,DHAR IN PVT LTD,THREE WHEELER,29,,
2023,DHAR INTERNATIONAL,THREE WHEELER,34,,
2023,DIAMOND E VEHICLES,THREE WHEELER,604,,
2023,DILLI ELECTRIC AUTO PVT LTD,THREE WHEELER,25,69,
2023,DIVANSU AUTOMOBILES LTD,THREE WHEELER,145,,
2023,DIVYA ENTERPRISES,THREE WHEELER,1,26,
2023,DSF INDUSTRIES PVT LTD,THREE WHEELER,26,,
2023,D S INDUSTRIES,THREE WHEELER,32,,
2023,DSR EV MOBILITY PVT LTD,THREE WHEELER,3,,
2023,DUKE AUTO INDIA,THREE WHEELER,934,,
2023,DYS IMPEX PRIVATE LIMITED,THREE WHEELER,751,,
2023,E-ASHWA AUTOMOTIVE PVT LTD,THREE WHEELER,240,,
2023,EBUZZ MOBILITY LLP,THREE WHEELER,17,,
2023,ECO DYNAAMIC EQUIPMENTS,THREE WHEELER,74,,
2023,ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,THREE WHEELER,1,,
2023,ECO SMART VEHICLES PVT LTD,THREE WHEELER,1,245,
2023,ECOYAN ELECTRIC MOTOR VEHICLES PVT LTD,THREE WHEELER,7,,
2023,EDMRC MANNSCHAFT LLP,THREE WHEELER,89,,
2023,EEVEE ENGINEERING PVT LTD,THREE WHEELER,1,,
2023,EFEV CHARGING SOLUTION PVT LTD,THREE WHEELER,526,,
2023,E-GURU AUTO ENERGY,THREE WHEELER,125,,
2023,ELECTRA INTERNATIONAL,THREE WHEELER,7,,
2023,ELECTROTECH TRANSMISSION PVT LTD,THREE WHEELER,1,,
2023,ELECTROTHERM (INDIA) LIMITED,THREE WHEELER,4,,
2023,ELEPHANTA INDUSTRIES PVT LTD,THREE WHEELER,11,,
2023,ELITE AUTO ENGINEERS PVT LTD,THREE WHEELER,1,200,
2023,E-MOTION AUTOMOTIVE INDUSTRY LLP,THREE WHEELER,470,,
2023,ENERGY ELECTRIC VEHICLES,THREE WHEELER,11,80,
2023,ENGINIA VEHICLES PVT LTD,THREE WHEELER,188,,
2023,ENTICE IMPEX PVT LTD,THREE WHEELER,588,,
2023,EPOWER VEHICLES PVT LTD,THREE WHEELER,31,,
2023,ERISHA E MOBILITY PVT LTD,THREE WHEELER,55,,
2023,E ROYCE MOTORS INDIA PVT LTD,THREE WHEELER,1,296,
2023,ETRIO AUTOMOBILES PVT LTD,THREE WHEELER,80,,
2023,EULER MOTORS PVT LTD,THREE WHEELER,2,595,
2023,EVBHARAT RANGE PRIVATE LIMITED,THREE WHEELER,31,,
2023,EVCO AUTOMOBILES PVT LTD,THREE WHEELER,14,,
2023,EVERVE MOTORS PVT LTD,THREE WHEELER,1,,
2023,EVEX AUTO INDIA PVT LTD,THREE WHEELER,166,,
2023,EXIDE INDUSTRIES LTD,THREE WHEELER,2,379,
2023,EXTRA FAST SOLUTIONS,THREE WHEELER,614,,
